rank,title,link,director,actor,image_link,year,country,typ,score,people,words
81,心灵捕手,https://movie.douban.com/subject/1292656/,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,1997,美国,剧情,8.8,339770人评价,人生中应该拥有这样的一段豁然开朗。
82,入殓师,https://movie.douban.com/subject/2149806/,泷田洋二郎 Y?jir? Takita,本木雅弘 Masahiro Motoki / ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,2008,日本,剧情,8.8,364703人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
83,猫鼠游戏,https://movie.douban.com/subject/1305487/,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,2002,美国 加拿大,传记 犯罪 剧情,8.8,308595人评价,骗子大师和执著警探的你追我跑故事。 
84,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,2014,美国 德国 英国,剧情 喜剧 冒险,8.8,409249人评价,小清新的故事里注入了大历史的情怀。
85,禁闭岛,https://movie.douban.com/subject/2334904/,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,2010,美国,剧情 悬疑 惊悚,8.7,449264人评价,昔日翩翩少年，今日大腹便便。
86,玛丽和马克思,https://movie.douban.com/subject/3072124/,亚当·艾略特 Adam Elliot,托妮·科莱特 Toni Collette / 菲利...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg,2009,澳大利亚,剧情 动画,8.9,264400人评价,你是我最好的朋友，你是我唯一的朋友 。
87,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,姜文 Wen Jiang,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p967457079.jpg,1994,中国大陆 香港,剧情,8.8,332426人评价,一场华丽的意淫。
88,幽灵公主,https://movie.douban.com/subject/1297359/,宫崎骏 Hayao Miyazaki,松田洋治 Y?ji Matsuda / 石田百合...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,1997,日本,动画 奇幻 冒险,8.8,284903人评价,人与自然的战争史诗。
89,第六感,https://movie.douban.com/subject/1297630/,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯 Bruce Wi...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,1999,美国,剧情 悬疑 惊悚,8.8,284205人评价,深入内心的恐怖，出人意料的结局。
90,重庆森林,https://movie.douban.com/subject/1291999/,王家卫 Kar Wai Wong,林青霞 Brigitte Lin / 金城武 Takeshi K...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,1994,香港,剧情 爱情,8.7,405271人评价,寂寞没有期限。
91,狩猎,https://movie.douban.com/subject/6985810/,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,2012,丹麦 瑞典,剧情,9.1,168071人评价,人言可畏。
92,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,马克·赫门 Mark Herman,阿沙·巴特菲尔德 Asa Butterfield / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,2008,英国 美国,剧情 战争,9.0,198333人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
93,致命ID,https://movie.douban.com/subject/1297192/,James Mangold,John Cusack / Ray Liotta / Amanda Peet,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453720880.jpg,2003,美国,剧情 悬疑 惊悚,8.7,391149人评价,最不可能的那个人永远是最可能的。
94,断背山,https://movie.douban.com/subject/1418834/,李安 Ang Lee,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg,2005,美国 加拿大,剧情 爱情 同性 家庭,8.7,389078人评价,每个人心中都有一座断背山。
95,加勒比海盗,https://movie.douban.com/subject/1298070/,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,2003,美国,动作 冒险 奇幻,8.6,433266人评价,约翰尼·德普的独角戏。
96,阿凡达,https://movie.douban.com/subject/1652587/,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,2009,美国 英国,动作 战争 科幻 冒险,8.6,649044人评价,绝对意义上的美轮美奂。
97,摩登时代,https://movie.douban.com/subject/1294371/,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg,1936,美国,喜剧 剧情 爱情,9.2,117685人评价,大时代中的人生，小人物的悲喜。
98,大鱼,https://movie.douban.com/subject/1291545/,蒂姆·波顿 Tim Burton,伊万·麦克格雷格 Ewan McGregor / 阿...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,2003,美国,剧情 家庭 奇幻 冒险,8.7,303570人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
99,告白,https://movie.douban.com/subject/4268598/,中岛哲也 Tetsuya Nakashima,松隆子 Takako Matsu / 冈田将生 ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,2010,日本,剧情 惊悚,8.7,411110人评价,没有一人完全善，也没有一人完全恶。
100,一一,https://movie.douban.com/subject/1292434/,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2119675128.jpg,2000,台湾 日本,剧情 爱情 家庭,9.0,185457人评价,我们都曾经是一一。
101,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,刘镇伟 Jeffrey Lau,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1993903133.jpg,1993,香港,喜剧 古装,8.7,331129人评价,百看不厌。 
102,甜蜜蜜,https://movie.douban.com/subject/1305164/,陈可辛 Peter Chan,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1962839732.jpg,1996,香港,剧情 爱情,8.8,271983人评价,相逢只要一瞬间，等待却像是一辈子。
103,阳光姐妹淘,https://movie.douban.com/subject/4917726/,姜炯哲 Hyeong-Cheol Kang,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,2011,韩国,剧情 喜剧,8.8,326273人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
104,消失的爱人,https://movie.douban.com/subject/21318488/,大卫·芬奇 David Fincher,本·阿弗莱克 Ben Affleck / 罗莎蒙...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,441931人评价,年度最佳date movie。
105,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452582315.jpg,1995,美国 奥地利 瑞士,剧情 爱情,8.7,272018人评价,缘分是个连绵词，最美不过一瞬。
106,上帝之城,https://movie.douban.com/subject/1292208/,Kátia Lund / Fernando Meirelles,Alexandre Rodrigues / Lea...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,2002,巴西 法国,犯罪 剧情,8.9,180487人评价,被上帝抛弃了的上帝之城。
107,寻梦环游记,https://movie.douban.com/subject/20495023/,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,2017,美国,喜剧 动画 奇幻 音乐,9.0,611883人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
108,喜剧之王,https://movie.douban.com/subject/1302425/,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1043597424.jpg,1999,香港,喜剧 剧情 爱情,8.6,402669人评价,我是一个演员。
109,小森林 夏秋篇,https://movie.douban.com/subject/25814705/,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221319641.jpg,2014,日本,剧情,8.9,178869人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
110,侧耳倾听,https://movie.douban.com/subject/1297052/,近藤喜文 Yoshifumi Kondo,本名阳子 Youko Honna / 小林桂树 K...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,1995,日本,剧情 爱情 动画,8.8,211450人评价,少女情怀总是诗。
111,倩女幽魂,https://movie.douban.com/subject/1297447/,程小东 Siu-Tung Ching,张国荣 Leslie Cheung / 王祖贤 Joey W...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,1987,香港,剧情 爱情 武侠 古装,8.6,327016人评价,两张绝世的脸。 
112,恐怖直播,https://movie.douban.com/subject/21360417/,金秉祐 Byeong-woo Kim,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,2013,韩国,剧情 犯罪 悬疑,8.7,287517人评价,恐怖分子的“秋菊打官司”。
113,风之谷,https://movie.douban.com/subject/1291585/,宫崎骏 Hayao Miyazaki,岛本须美 Sumi Shimamoto / 松田洋治 Y...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,1984,日本,动画 奇幻 冒险,8.8,211017人评价,动画片的圣经。
114,超脱,https://movie.douban.com/subject/5322596/,托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,2011,美国,剧情,8.8,216890人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
115,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910924055.jpg,2004,美国,剧情 爱情,8.8,240159人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
116,红辣椒,https://movie.douban.com/subject/1865703/,今敏 Satoshi Kon,林原惠美 Megumi Hayashibara / 古谷彻 T...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p672363704.jpg,2006,日本,动画 悬疑 科幻 惊悚,8.9,170386人评价,梦的勾结。
117,菊次郎的夏天,https://movie.douban.com/subject/1293359/,北野武 Takeshi Kitano,北野武 Takeshi Kitano / 关口雄介 Yus...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p751835224.jpg,1999,日本,剧情 喜剧,8.8,232200人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
118,驯龙高手,https://movie.douban.com/subject/2353023/,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p490385643.jpg,2010,美国,喜剧 动画 奇幻 冒险,8.7,351476人评价,和谐的生活离不开摸头与被摸头。
119,幸福终点站,https://movie.douban.com/subject/1292274/,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792263736.jpg,2004,美国,喜剧 剧情 爱情,8.7,268407人评价,有时候幸福需要等一等。 
120,神偷奶爸,https://movie.douban.com/subject/3287562/,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,2010,美国 法国,喜剧 动画 冒险,8.5,473886人评价,Mr. I Don't Care其实也有Care的时候。
121,杀人回忆,https://movie.douban.com/subject/1300299/,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480225538.jpg,2003,韩国,犯罪 剧情 悬疑 惊悚,8.7,252595人评价,关于连环杀人悬案的集体回忆。
122,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida / 神木...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,2010,日本,动画 奇幻 冒险,8.7,260600人评价,曾经的那段美好会沉淀为一辈子的记忆。
123,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,卢卡·圭达尼诺 Luca Guadagnino,蒂莫西·柴勒梅德 Timothée ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,2017,意大利 法国 巴西 美国,剧情 爱情 同性,8.8,243121人评价,沉醉在电影的情感和视听氛围中无法自拔。
124,七武士,https://movie.douban.com/subject/1295399/,黑泽明 Akira Kurosawa,三船敏郎 Toshir? Mifune / 志村乔 ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p647099823.jpg,1954,日本,动作 冒险 剧情,9.2,94604人评价,时代悲歌。
125,哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,2011,美国 英国,剧情 悬疑 奇幻 冒险,8.7,339610人评价,10年的完美句点。
126,岁月神偷,https://movie.douban.com/subject/3792799/,罗启锐 Alex Law,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,2010,香港 中国大陆,剧情 家庭,8.6,353420人评价,岁月流逝，来日可追。
127,小森林 冬春篇,https://movie.douban.com/subject/25814707/,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,2015,日本,剧情,9.0,155037人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
128,怪兽电力公司,https://movie.douban.com/subject/1291579/,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.6,302017人评价,不要给它起名字，起了名字就有感情了。
129,萤火虫之墓,https://movie.douban.com/subject/1293318/,高畑勋 Isao Takahata,辰己努 / 白石绫乃 / 志乃原良子,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg,1988,日本,动画 剧情 战争,8.7,239118人评价,幸福是生生不息，却难以触及的远。 
130,谍影重重3,https://movie.douban.com/subject/1578507/,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,2007,美国 德国,动作 悬疑 惊悚,8.7,217829人评价,像吃了苏打饼一样干脆的电影。
131,电锯惊魂,https://movie.douban.com/subject/1417598/,詹姆斯·温 James Wan,雷·沃纳尔 Leigh Whannell / 加利·艾...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2163771304.jpg,2004,美国,悬疑 惊悚 恐怖,8.7,237546人评价,真相就在眼前。
132,7号房的礼物,https://movie.douban.com/subject/10777687/,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,2013,韩国,剧情 喜剧 家庭,8.7,222001人评价,《我是山姆》的《美丽人生》。
133,东邪西毒,https://movie.douban.com/subject/1292328/,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 林青霞 Brigitte...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,1994,香港 台湾,剧情 动作 爱情 武侠 古装,8.6,307212人评价,电影诗。
134,喜宴,https://movie.douban.com/subject/1303037/,李安 Ang Lee,赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg,1993,台湾 美国,剧情 喜剧 爱情 同性 家庭,8.8,168409人评价,中国家庭的喜怒哀乐忍。
135,疯狂原始人,https://movie.douban.com/subject/1907966/,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,..,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,2013,美国,喜剧 动画 冒险,8.7,441796人评价,老少皆宜，这就是好莱坞动画的魅力。
136,贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,戴夫...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,2008,英国 美国,剧情 爱情,8.5,448260人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
137,萤火之森,https://movie.douban.com/subject/5989818/,大森贵弘 Takahiro Omori,佐仓绫音 Ayane Sakura / 内山昂辉 K...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1272904657.jpg,2011,日本,剧情 爱情 动画 奇幻,8.8,204844人评价,触不到的恋人。
138,记忆碎片,https://movie.douban.com/subject/1304447/,克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯 Guy Pearce /...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,2000,美国,犯罪 剧情 悬疑 惊悚,8.6,329015人评价,一个针管引发的血案。
139,黑天鹅,https://movie.douban.com/subject/1978709/,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔莉·波特曼 Natalie...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p719282906.jpg,2010,美国,剧情 惊悚,8.5,486347人评价,黑暗之美。
140,真爱至上,https://movie.douban.com/subject/1292401/,理查德·柯蒂斯 Richard Curtis,休·格兰特 Hugh Grant / 柯林...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,2003,英国 美国 法国,喜剧 剧情 爱情,8.5,363541人评价,爱，是个动词。
141,英雄本色,https://movie.douban.com/subject/1297574/,吴宇森 John Woo,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,1986,香港,动作 犯罪,8.6,219956人评价,英雄泪短，兄弟情长。 
142,超能陆战队,https://movie.douban.com/subject/11026735/,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg,2014,美国,喜剧 动作 科幻 动画 冒险,8.6,461828人评价,Balalala~~~
143,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1946455272.jpg,1993,香港,喜剧 爱情 古装,8.5,429981人评价,华太师是黄霑，吴镇宇四大才子之一。
144,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.6,351516人评价,诺兰就是保证。
145,雨人,https://movie.douban.com/subject/1291870/,巴瑞·莱文森 Barry Levinson,达斯汀·霍夫曼 Dustin Hoffman ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p942376281.jpg,1988,美国,剧情,8.7,237804人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
146,心迷宫,https://movie.douban.com/subject/25917973/,忻钰坤 Yukun Xin,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2275298525.jpg,2014,中国大陆,剧情 犯罪 悬疑,8.7,228182人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
147,卢旺达饭店,https://movie.douban.com/subject/1291822/,特瑞·乔治 Terry George,唐·钱德尔 Don Cheadle / 苏菲·奥...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159368352.jpg,2004,英国 南非 意大利 美国,剧情 历史 战争,8.9,143063人评价,当这个世界闭上双眼，他却敞开了怀抱。
148,傲慢与偏见,https://movie.douban.com/subject/1418200/,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley / 马修·...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452005185.jpg,2005,法国 英国 美国,剧情 爱情,8.5,364950人评价,爱是摈弃傲慢与偏见之后的曙光。
149,荒蛮故事,https://movie.douban.com/subject/24750126/,达米安·斯兹弗隆 Damián Szifron,达里奥·葛兰帝内提 Darío...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192834364.jpg,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,182958人评价,始于荒诞，止于更荒诞。
150,海洋,https://movie.douban.com/subject/3443389/,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p497010372.jpg,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片,9.0,107995人评价,大海啊，不全是水。
151,纵横四海,https://movie.douban.com/subject/1295409/,吴宇森 John Woo,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2272146906.jpg,1991,香港,剧情 喜剧 动作 犯罪,8.7,185662人评价,香港浪漫主义警匪动作片的巅峰之作。
152,无人知晓,https://movie.douban.com/subject/1292337/,是枝裕和 Hirokazu Koreeda,柳乐优弥 Y?ya Yagira / 北浦爱...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,2004,日本,剧情,9.1,95745人评价,我的平常生活就是他人的幸福。
153,海边的曼彻斯特,https://movie.douban.com/subject/25980443/,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克 Casey Affle...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2496940327.jpg,2016,美国,剧情 家庭,8.6,250022人评价,我们都有权利不与自己的过去和解。
154,时空恋旅人,https://movie.douban.com/subject/10577869/,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格利森 Domhnall Gl...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,2013,英国,剧情 爱情 奇幻,8.7,250882人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
155,教父3,https://movie.douban.com/subject/1294240/,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,1990,美国,剧情 犯罪,8.8,159649人评价,任何信念的力量，都无法改变命运。
156,虎口脱险,https://movie.douban.com/subject/1296909/,杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯 Louis de Funès...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg,1966,法国 英国,喜剧 战争,8.9,123651人评价,永远看不腻的喜剧。
157,玩具总动员3,https://movie.douban.com/subject/1858711/,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg,2010,美国,喜剧 动画 奇幻 冒险,8.8,228674人评价,跨度十五年的欢乐与泪水。
158,完美的世界,https://movie.douban.com/subject/1300992/,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792403691.jpg,1993,美国,剧情 犯罪,9.0,100131人评价,坏人的好总是比好人的好来得更感人。
159,花样年华,https://movie.douban.com/subject/1291557/,王家卫 Kar Wai Wong,梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,2000,香港,剧情 爱情,8.6,292498人评价,偷情本没有这样美。
160,达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,让-马克·瓦雷 Jean-Marc Vallée,马修·麦康纳 Matthew McCon...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,2013,美国,剧情 传记 同性,8.7,225785人评价,Jared Leto的腿比女人还美！
161,恋恋笔记本,https://movie.douban.com/subject/1309163/,尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林 Ryan Gosling /...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg,2004,美国,剧情 爱情,8.5,335911人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
162,血战钢锯岭,https://movie.douban.com/subject/26325320/,梅尔·吉布森 Mel Gibson,安德鲁·加菲尔德 Andrew Garfield /...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,2016,美国 澳大利亚,剧情 传记 历史 战争,8.7,393644人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
163,燃情岁月,https://movie.douban.com/subject/1295865/,爱德华·兹威克 Edward Zwick,安东尼·霍普金斯 Anthony Hopki...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg,1994,美国,剧情 爱情 西部 家庭,8.7,166976人评价,传奇，不是每个人都可以拥有。
164,二十二,https://movie.douban.com/subject/26430107/,郭柯 Ke Guo,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg,2015,中国大陆,纪录片,8.7,135061人评价,有一些东西不应该被遗忘。
165,雨中曲,https://movie.douban.com/subject/1293460/,Stanley Donen / Gene Kelly,Gene Kelly / Donald O'Connor / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,1952,美国,喜剧 歌舞 爱情,9.0,107969人评价,骨灰级歌舞片。
166,魂断蓝桥,https://movie.douban.com/subject/1293964/,Mervyn LeRoy,Vivien Leigh / Robert Taylor / Lucile Watson,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg,1940,美国,剧情 战争 爱情,8.8,147969人评价,中国式内在的美国电影。
167,穿越时空的少女,https://movie.douban.com/subject/1937946/,细田守 Mamoru Hosoda,仲里依纱 Riisa Naka / 石田卓也 Takuya...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg,2006,日本,剧情 爱情 科幻 动画,8.6,215898人评价,爱上未来的你。 
168,冰川时代,https://movie.douban.com/subject/1291578/,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,..,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,2002,美国,喜剧 动画 冒险,8.5,325003人评价,松鼠才是角儿。
169,我是山姆,https://movie.douban.com/subject/1306861/,杰茜·尼尔森 Jessie Nelson,Sean Penn / Dakota Fanning / Mi...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,2001,美国,剧情 家庭,8.8,127006人评价,爱并不需要智商 。
170,猜火车,https://movie.douban.com/subject/1292528/,丹尼·博伊尔 Danny Boyle,伊万·麦克格雷格 Ewan McGregor / ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.jpg,1996,英国,犯罪 剧情,8.5,280298人评价,不可猜的青春迷笛。 
