actor,country,director,image_link,link,people,rank,score,title,typ,words,year
约翰·特拉沃尔塔 John Tra..., 美国 ,昆汀·塔伦蒂诺 Quentin Tarantino,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,https://movie.douban.com/subject/1291832/,417134人评价,73,8.8,"低俗小说, / Pulp Fiction, / 黑色追緝令(台)  /  危险人物(港)", 剧情 喜剧 犯罪,故事的高级讲法。,1994 
梅尔·吉布森 Mel Gibson / 苏菲·玛..., 美国 ,梅尔·吉布森 Mel Gibson,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,https://movie.douban.com/subject/1294639/,346654人评价,74,8.8,"勇敢的心, / Braveheart, / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台)", 动作 传记 剧情 历史 战争,史诗大片的典范。,1995 
邱岳峰 Yuefeng Qiu /..., 1964(中国大陆) ,万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,https://movie.douban.com/subject/1418019/,140163人评价,75,9.3,"大闹天宫, / 大闹天宫 上下集  /  The Monkey King", 1978(中国大陆) ,经典之作，历久弥新。,1961(中国大陆) 
约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ..., 美国 ,Tim Burton,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,https://movie.douban.com/subject/1292370/,588286人评价,76,8.7,"剪刀手爱德华, / Edward Scissorhands, / 幻海奇缘(港)  /  剪刀手爱德华", 剧情 奇幻 爱情,浪漫忧郁的成人童话。,1990 
朱迪·福斯特 Jodie Foster / 安..., 美国 ,乔纳森·戴米 Jonathan Demme,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,https://movie.douban.com/subject/1293544/,425575人评价,77,8.8,"沉默的羔羊, / The Silence of the Lambs, / 沉默的羔羊", 剧情 犯罪 惊悚,安东尼·霍普金斯的顶级表演。,1991 
Daniel Radcliffe / Emma Watson / Rupert Grint, 美国 英国 ,Chris Columbus,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,https://movie.douban.com/subject/1295038/,360415人评价,78,8.8,"哈利·波特与魔法石, / Harry Potter and the Sorcerer's Stone, / 哈利波特1：神秘的魔法石(港 / 台) ", 奇幻 冒险,童话世界的开端。,2001 
., 美国 加拿大 ,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,https://movie.douban.com/subject/1292343/,467568人评价,79,8.7,"蝴蝶效应, / The Butterfly Effect, / 蝴蝶效应", 剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。,2004 
张国荣 Leslie Cheung / 梁朝伟 Tony Leu..., 香港 日本 韩国 ,王家卫 Kar Wai Wong,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,https://movie.douban.com/subject/1292679/,308092人评价,80,8.8,"春光乍泄, / 春光乍洩, / 一起快乐  /  Happy Together", 剧情 爱情 同性,爱情纠缠，男女一致。,1997 
马特·达蒙 Matt Damon / 罗宾·..., 美国 ,格斯·范·桑特 Gus Van Sant,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,https://movie.douban.com/subject/1292656/,339770人评价,81,8.8,"心灵捕手, / Good Will Hunting, / 骄阳似我(港)  /  心灵捕手", 剧情,人生中应该拥有这样的一段豁然开朗。,1997 
本木雅弘 Masahiro Motoki / ..., 日本 ,泷田洋二郎 Yôjirô Takita,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,https://movie.douban.com/subject/2149806/,364703人评价,82,8.8,"入殓师, / おくりびと, / 礼仪师之奏鸣曲(港)  /  礼仪师(台)", 剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008 
莱昂纳多·迪卡普里奥 L..., 美国 加拿大 ,史蒂文·斯皮尔伯格 Steven Spielberg,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,https://movie.douban.com/subject/1305487/,308595人评价,83,8.8,"猫鼠游戏, / Catch Me If You Can, / 逍遥法外  /  神鬼交锋(台)", 传记 犯罪 剧情,骗子大师和执著警探的你追我跑故事。 ,2002 
拉尔夫·费因斯 Ralph Fiennes / ..., 美国 德国 英国 ,韦斯·安德森 Wes Anderson,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,https://movie.douban.com/subject/11525673/,409249人评价,84,8.8,"布达佩斯大饭店, / The Grand Budapest Hotel, / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台)", 剧情 喜剧 冒险,小清新的故事里注入了大历史的情怀。,2014 
莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ..., 美国 ,Martin Scorsese,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,https://movie.douban.com/subject/2334904/,449264人评价,85,8.7,"禁闭岛, / Shutter Island, / 不赦岛(港)  /  隔离岛(台)", 剧情 悬疑 惊悚,昔日翩翩少年，今日大腹便便。,2010 
托妮·科莱特 Toni Collette / 菲利..., 澳大利亚 ,亚当·艾略特 Adam Elliot,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg,https://movie.douban.com/subject/3072124/,264400人评价,86,8.9,"玛丽和马克思, / Mary and Max, / 巧克力情缘(台)  /  同是天涯寂寞客", 剧情 动画,你是我最好的朋友，你是我唯一的朋友 。,2009 
夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao, 中国大陆 香港 ,姜文 Wen Jiang,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p967457079.jpg,https://movie.douban.com/subject/1291875/,332516人评价,87,8.8,"阳光灿烂的日子, / In the Heat of the Sun", 剧情,一场华丽的意淫。,1994 
松田洋治 Yôji Matsuda / 石田百合..., 日本 ,宫崎骏 Hayao Miyazaki,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,https://movie.douban.com/subject/1297359/,284903人评价,88,8.8,"幽灵公主, / もののけ姫, / 魔法公主  /  幽灵少女", 动画 奇幻 冒险,人与自然的战争史诗。,1997 
布鲁斯·威利斯 Bruce Wi..., 美国 ,M·奈特·沙马兰 M. Night Shyamalan,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,https://movie.douban.com/subject/1297630/,284205人评价,89,8.8,"第六感, / The Sixth Sense, / 灵异第六感  /  鬼眼", 剧情 悬疑 惊悚,深入内心的恐怖，出人意料的结局。,1999 
林青霞 Brigitte Lin / 金城武 Takeshi K..., 香港 ,王家卫 Kar Wai Wong,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,https://movie.douban.com/subject/1291999/,405271人评价,90,8.7,"重庆森林, / 重慶森林, / Chungking Express", 剧情 爱情,寂寞没有期限。,1994 
麦斯·米科尔森 Mads Mik..., 丹麦 瑞典 ,托马斯·温特伯格 Thomas Vinterberg,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,https://movie.douban.com/subject/6985810/,168071人评价,91,9.1,"狩猎, / Jagten, / 谎言的烙印(台)  /  诬网(港)", 剧情,人言可畏。,2012 
阿沙·巴特菲尔德 Asa Butterfield / ..., 英国 美国 ,马克·赫门 Mark Herman,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,https://movie.douban.com/subject/3008247/,198333人评价,92,9.0,"穿条纹睡衣的男孩, / The Boy in the Striped Pajamas, / 穿条纹衣服的男孩  /  穿条纹衣的男孩", 剧情 战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008 
John Cusack / Ray Liotta / Amanda Peet, 美国 ,James Mangold,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453720880.jpg,https://movie.douban.com/subject/1297192/,391149人评价,93,8.7,"致命ID, / Identity, / 杀人游戏  /  致命身份", 剧情 悬疑 惊悚,最不可能的那个人永远是最可能的。,2003 
希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake..., 美国 加拿大 ,李安 Ang Lee,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg,https://movie.douban.com/subject/1418834/,389078人评价,94,8.7,"断背山, / Brokeback Mountain, / 断臂山  /  BBM", 剧情 爱情 同性 家庭,每个人心中都有一座断背山。,2005 
约翰尼·德普 Johnny Depp / ..., 美国 ,戈尔·维宾斯基 Gore Verbinski,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,https://movie.douban.com/subject/1298070/,433266人评价,95,8.6,"加勒比海盗, / Pirates of the Caribbean: The Curse of the Black Pearl, / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台)", 动作 冒险 奇幻,约翰尼·德普的独角戏。,2003 
萨姆·沃辛顿 Sam Worthington ..., 美国 英国 ,詹姆斯·卡梅隆 James Cameron,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,https://movie.douban.com/subject/1652587/,649044人评价,96,8.6,"阿凡达, / Avatar, / 天神下凡(港)  /  化身", 动作 战争 科幻 冒险,绝对意义上的美轮美奂。,2009 
查理·卓别林 Charles Chaplin ..., 美国 ,查理·卓别林 Charles Chaplin,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg,https://movie.douban.com/subject/1294371/,117685人评价,97,9.2,"摩登时代, / Modern Times, / The Masses  /  Temps modernes, Les", 喜剧 剧情 爱情,大时代中的人生，小人物的悲喜。,1936 
伊万·麦克格雷格 Ewan McGregor / 阿..., 美国 ,蒂姆·波顿 Tim Burton,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,https://movie.douban.com/subject/1291545/,303570人评价,98,8.7,"大鱼, / Big Fish, / 大鱼奇缘(港)  /  大智若鱼(台)", 剧情 家庭 奇幻 冒险,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,2003 
松隆子 Takako Matsu / 冈田将生 ..., 日本 ,中岛哲也 Tetsuya Nakashima,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,https://movie.douban.com/subject/4268598/,411110人评价,99,8.7,"告白, / 自白  /  母亲", 剧情 惊悚,没有一人完全善，也没有一人完全恶。,2010 
吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai..., 台湾 日本 ,杨德昌 Edward Yang,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2119675128.jpg,https://movie.douban.com/subject/1292434/,185457人评价,100,9.0,"一一, / Yi yi  /  Yi yi: A One and a Two", 剧情 爱情 家庭,我们都曾经是一一。,2000 
梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri..., 香港 ,刘镇伟 Jeffrey Lau,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1993903133.jpg,https://movie.douban.com/subject/1316510/,331129人评价,101,8.7,"射雕英雄传之东成西就, / 射鵰英雄傳之東成西就, / 东成西就  /  大英雄 (日本)", 喜剧 古装,百看不厌。 ,1993 
黎明 Leon Lai / 张曼玉 Maggie Cheung / ..., 香港 ,陈可辛 Peter Chan,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1962839732.jpg,https://movie.douban.com/subject/1305164/,271983人评价,102,8.8,"甜蜜蜜, / Comrades: Almost a Love Story", 剧情 爱情,相逢只要一瞬间，等待却像是一辈子。,1996 
沈恩京 Eun-kyung Shim / 闵孝琳 Hy..., 韩国 ,姜炯哲 Hyeong-Cheol Kang,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,https://movie.douban.com/subject/4917726/,326273人评价,103,8.8,"阳光姐妹淘, / 써니, / 阳光姊妹淘(港)  /  桑尼", 剧情 喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,2011 
本·阿弗莱克 Ben Affleck / 罗莎蒙..., 美国 ,大卫·芬奇 David Fincher,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,https://movie.douban.com/subject/21318488/,441931人评价,104,8.7,"消失的爱人, / Gone Girl, / 失踪的女孩  /  失踪女孩", 剧情 犯罪 悬疑 惊悚,年度最佳date movie。,2014 
伊桑·霍克 Ethan Hawke ..., 美国 奥地利 瑞士 ,理查德·林克莱特 Richard Linklater,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452582315.jpg,https://movie.douban.com/subject/1296339/,272018人评价,105,8.7,"爱在黎明破晓前, / Before Sunrise, / 情留半天(港)  /  爱在黎明破晓时(台)", 剧情 爱情,缘分是个连绵词，最美不过一瞬。,1995 
Alexandre Rodrigues / Lea..., 巴西 法国 ,Kátia Lund / Fernando Meirelles,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,https://movie.douban.com/subject/1292208/,180487人评价,106,8.9,"上帝之城, / Cidade de Deus, / 无主之城 (港)  /  无法无天 (台)", 犯罪 剧情,被上帝抛弃了的上帝之城。,2002 
..., 美国 ,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,https://movie.douban.com/subject/20495023/,611883人评价,107,9.0,"寻梦环游记, / Coco, / 可可夜总会(台)  /  玩转极乐园(港)", 喜剧 动画 奇幻 音乐,死亡不是真的逝去，遗忘才是永恒的消亡。,2017 
周星驰 Stephen Ch..., 香港 ,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1043597424.jpg,https://movie.douban.com/subject/1302425/,402669人评价,108,8.6,"喜剧之王, / 喜劇之王, / King of Comedy", 喜剧 剧情 爱情,我是一个演员。,1999 
桥本爱 Ai Hashimoto / 三浦贵大 Takahir..., 日本 ,森淳一 Junichi Mori,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221319641.jpg,https://movie.douban.com/subject/25814705/,178869人评价,109,8.9,"小森林 夏秋篇, / リトル・フォレスト 夏・秋, / 小森食光 / 夏秋篇(台) ", 剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014 
本名阳子 Youko Honna / 小林桂树 K..., 日本 ,近藤喜文 Yoshifumi Kondo,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,https://movie.douban.com/subject/1297052/,211450人评价,110,8.8,"侧耳倾听, / 耳をすませば, / 心之谷  /  梦幻街少女", 剧情 爱情 动画,少女情怀总是诗。,1995 
张国荣 Leslie Cheung / 王祖贤 Joey W..., 香港 ,程小东 Siu-Tung Ching,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,https://movie.douban.com/subject/1297447/,327016人评价,111,8.6,"倩女幽魂, / 倩女幽魂(87版)  /  A Chinese Ghost Story", 剧情 爱情 武侠 古装,两张绝世的脸。 ,1987 
河正宇 Jung-woo Ha / 李璟荣 Kyeong-y..., 韩国 ,金秉祐 Byeong-woo Kim,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,https://movie.douban.com/subject/21360417/,287517人评价,112,8.7,"恐怖直播, / 더 테러 라이브, / 死亡“动”新闻(港)  /  恐怖攻击直播(台)", 剧情 犯罪 悬疑,恐怖分子的“秋菊打官司”。,2013 
岛本须美 Sumi Shimamoto / 松田洋治 Y..., 日本 ,宫崎骏 Hayao Miyazaki,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,https://movie.douban.com/subject/1291585/,211017人评价,113,8.8,"风之谷, / 風の谷のナウシカ, / 风谷少女  /  Kaze no tani no Naushika", 动画 奇幻 冒险,动画片的圣经。,1984 
艾德里安·布洛迪 Adrien Brody / 马西..., 美国 ,托尼·凯耶 Tony Kaye,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,https://movie.douban.com/subject/5322596/,216890人评价,114,8.8,"超脱, / Detachment, / 人间师格(台)", 剧情,穷尽一生，我们要学会的，不过是彼此拥抱。,2011 
伊桑·霍克 Ethan Hawke ..., 美国 ,理查德·林克莱特 Richard Linklater,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910924055.jpg,https://movie.douban.com/subject/1291990/,240159人评价,115,8.8,"爱在日落黄昏时, / Before Sunset, / 日落巴黎(港)  /  爱在日落巴黎时(台)", 剧情 爱情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004 
林原惠美 Megumi Hayashibara / 古谷彻 T..., 日本 ,今敏 Satoshi Kon,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p672363704.jpg,https://movie.douban.com/subject/1865703/,170386人评价,116,8.9,"红辣椒, / パプリカ, / 盗梦侦探  /  帕布莉卡", 动画 悬疑 科幻 惊悚,梦的勾结。,2006 
北野武 Takeshi Kitano / 关口雄介 Yus..., 日本 ,北野武 Takeshi Kitano,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p751835224.jpg,https://movie.douban.com/subject/1293359/,232200人评价,117,8.8,"菊次郎的夏天, / 菊次郎の夏, / Kikujirô no natsu  /  菊次郎的夏天", 剧情 喜剧,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,1999 
..., 美国 ,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p490385643.jpg,https://movie.douban.com/subject/2353023/,351476人评价,118,8.7,"驯龙高手, / How to Train Your Dragon, / 驯龙记(港)", 喜剧 动画 奇幻 冒险,和谐的生活离不开摸头与被摸头。,2010 
汤姆·汉克斯 Tom Hanks..., 美国 ,史蒂文·斯皮尔伯格 Steven Spielberg,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792263736.jpg,https://movie.douban.com/subject/1292274/,268407人评价,119,8.7,"幸福终点站, / The Terminal, / 机场客运站(港)  /  航站情缘(台)", 喜剧 剧情 爱情,有时候幸福需要等一等。 ,2004 
..., 美国 法国 ,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,https://movie.douban.com/subject/3287562/,473886人评价,120,8.5,"神偷奶爸, / Despicable Me, / 卑鄙的我  /  坏蛋奖门人(港)", 喜剧 动画 冒险,Mr. I Don't Care其实也有Care的时候。,2010 
宋康昊 Kang-ho Song / 金相庆 Sang-kyun..., 韩国 ,奉俊昊 Joon-ho Bong,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480225538.jpg,https://movie.douban.com/subject/1300299/,252595人评价,121,8.7,"杀人回忆, / 살인의 추억, / 谋杀回忆  /  杀手回忆录", 犯罪 剧情 悬疑 惊悚,关于连环杀人悬案的集体回忆。,2003 
志田未来 Mirai Shida / 神木..., 日本 ,米林宏昌 Hiromasa Yonebayashi,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,https://movie.douban.com/subject/4202302/,260600人评价,122,8.7,"借东西的小人阿莉埃蒂, / 借りぐらしのアリエッティ, / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港)", 动画 奇幻 冒险,曾经的那段美好会沉淀为一辈子的记忆。,2010 
蒂莫西·柴勒梅德 Timothée ..., 意大利 法国 巴西 美国 ,卢卡·圭达尼诺 Luca Guadagnino,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,https://movie.douban.com/subject/26799731/,243121人评价,123,8.8,"请以你的名字呼唤我, / Call Me by Your Name, / 以你的名字呼唤我(港 / 台) ", 剧情 爱情 同性,沉醉在电影的情感和视听氛围中无法自拔。,2017 
三船敏郎 Toshirô Mifune / 志村乔 ..., 日本 ,黑泽明 Akira Kurosawa,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p647099823.jpg,https://movie.douban.com/subject/1295399/,94604人评价,124,9.2,"七武士, / 七人の侍, / 七侠四义(港)  /  The Seven Samurai", 动作 冒险 剧情,时代悲歌。,1954 
丹尼尔·雷德克里夫 Daniel Radcliffe..., 美国 英国 ,大卫·叶茨 David Yates,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,https://movie.douban.com/subject/3011235/,339610人评价,125,8.7,"哈利·波特与死亡圣器(下), / Harry Potter and the Deathly Hallows: Part 2, / 哈利波特7：死神的圣物2(港 / 台) ", 剧情 悬疑 奇幻 冒险,10年的完美句点。,2011 
吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍..., 香港 中国大陆 ,罗启锐 Alex Law,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,https://movie.douban.com/subject/3792799/,353420人评价,126,8.6,"岁月神偷, / 歲月神偷, / 1969太空漫游  /  Echoes Of The Rainbow", 剧情 家庭,岁月流逝，来日可追。,2010 
桥本爱 Ai Hashimoto / 三浦贵大 Takahir..., 日本 ,森淳一 Junichi Mori,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,https://movie.douban.com/subject/25814707/,155037人评价,127,9.0,"小森林 冬春篇, / リトル・フォレスト 冬・春, / 小森食光 / 冬春篇(台) ", 剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015 
约..., 美国 ,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,https://movie.douban.com/subject/1291579/,302017人评价,128,8.6,"怪兽电力公司, / Monsters, Inc., / 怪兽公司(港)  /  怪物公司", 儿童 喜剧 动画 奇幻 冒险,不要给它起名字，起了名字就有感情了。,2001 
辰己努 / 白石绫乃 / 志乃原良子, 日本 ,高畑勋 Isao Takahata,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg,https://movie.douban.com/subject/1293318/,239118人评价,129,8.7,"萤火虫之墓, / 火垂るの墓, / 再见萤火虫(港)  /  萤火挽歌", 动画 剧情 战争,幸福是生生不息，却难以触及的远。 ,1988 
马特·达蒙 Matt Damon / ..., 美国 德国 ,保罗·格林格拉斯 Paul Greengrass,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,https://movie.douban.com/subject/1578507/,217829人评价,130,8.7,"谍影重重3, / The Bourne Ultimatum, / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台)", 动作 悬疑 惊悚,像吃了苏打饼一样干脆的电影。,2007 
雷·沃纳尔 Leigh Whannell / 加利·艾..., 美国 ,詹姆斯·温 James Wan,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2163771304.jpg,https://movie.douban.com/subject/1417598/,237546人评价,131,8.7,"电锯惊魂, / Saw, / 夺魂锯(台)  /  恐惧斗室(港)", 悬疑 惊悚 恐怖,真相就在眼前。,2004 
柳承龙 Seung-yong Ryoo / 朴信惠 Shi..., 韩国 ,李焕庆 Hwan-kyeong Lee,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,https://movie.douban.com/subject/10777687/,222001人评价,132,8.7,"7号房的礼物, / 7번방의 선물, / 戆爸的礼物(港)  /  7号囚房的礼物", 剧情 喜剧 家庭,《我是山姆》的《美丽人生》。,2013 
张国荣 Leslie Cheung / 林青霞 Brigitte..., 香港 台湾 ,王家卫 Kar Wai Wong,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,https://movie.douban.com/subject/1292328/,307212人评价,133,8.6,"东邪西毒, / 東邪西毒, / Ashes of Time", 剧情 动作 爱情 武侠 古装,电影诗。,1994 
赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚..., 台湾 美国 ,李安 Ang Lee,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg,https://movie.douban.com/subject/1303037/,168409人评价,134,8.8,"喜宴, / 囍宴, / The Wedding Banquet", 剧情 喜剧 爱情 同性 家庭,中国家庭的喜怒哀乐忍。,1993 
.., 美国 ,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,https://movie.douban.com/subject/1907966/,441796人评价,135,8.7,"疯狂原始人, / The Croods, / 古鲁家族(港 / 台) ", 喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。,2013 
戴夫..., 英国 美国 ,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,https://movie.douban.com/subject/2209573/,448260人评价,136,8.5,"贫民窟的百万富翁, / Slumdog Millionaire, / 贫民百万富翁(台)  /  一百万零一夜(港)", 剧情 爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008 
佐仓绫音 Ayane Sakura / 内山昂辉 K..., 日本 ,大森贵弘 Takahiro Omori,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1272904657.jpg,https://movie.douban.com/subject/5989818/,204844人评价,137,8.8,"萤火之森, / 蛍火の杜へ, / 萤火之社  /  Hotarubi no mori e", 剧情 爱情 动画 奇幻,触不到的恋人。,2011 
盖·皮尔斯 Guy Pearce /..., 美国 ,克里斯托弗·诺兰 Christopher Nolan,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,https://movie.douban.com/subject/1304447/,329015人评价,138,8.6,"记忆碎片, / Memento, / 失忆  /  记忆拼图(台)", 犯罪 剧情 悬疑 惊悚,一个针管引发的血案。,2000 
娜塔莉·波特曼 Natalie..., 美国 ,达伦·阿罗诺夫斯基 Darren Aronofsky,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p719282906.jpg,https://movie.douban.com/subject/1978709/,486347人评价,139,8.5,"黑天鹅, / Black Swan, / 夺命黑天鹅  /  霸王别鹅(豆友译名)", 剧情 惊悚,黑暗之美。,2010 
休·格兰特 Hugh Grant / 柯林..., 英国 美国 法国 ,理查德·柯蒂斯 Richard Curtis,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,https://movie.douban.com/subject/1292401/,363541人评价,140,8.5,"真爱至上, / Love Actually, / 爱是您，爱是我(台)  /  真的恋爱了(港)", 喜剧 剧情 爱情,爱，是个动词。,2003 
周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国..., 香港 ,吴宇森 John Woo,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,https://movie.douban.com/subject/1297574/,219956人评价,141,8.6,"英雄本色, / A Better Tomorrow  /  Gangland Boss", 动作 犯罪,英雄泪短，兄弟情长。 ,1986 
斯科特..., 美国 ,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg,https://movie.douban.com/subject/11026735/,461828人评价,142,8.6,"超能陆战队, / Big Hero 6, / 大英雄联盟(港)  /  大英雄天团(台)", 喜剧 动作 科幻 动画 冒险,Balalala~~~,2014 
周星驰 Stephen Chow / 巩俐 Li Gong / 陈..., 香港 ,李力持 Lik-Chi Lee,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1946455272.jpg,https://movie.douban.com/subject/1306249/,429981人评价,143,8.5,"唐伯虎点秋香, / 唐伯虎點秋香, / Flirting Scholar", 喜剧 爱情 古装,华太师是黄霑，吴镇宇四大才子之一。,1993 
克里斯蒂安·贝尔 Christ..., 美国 英国 ,克里斯托弗·诺兰 Christopher Nolan,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,https://movie.douban.com/subject/3395373/,351516人评价,144,8.6,"蝙蝠侠：黑暗骑士崛起, / The Dark Knight Rises, / 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台)", 剧情 动作 科幻 犯罪 惊悚,诺兰就是保证。,2012 
