actor,country,director,image_link,link,people,rank,score,title,typ,words,year
马修·麦康纳 Matthew Mc..., 美国 英国 加拿大 冰岛 ,克里斯托弗·诺兰 Christopher Nolan,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,https://movie.douban.com/subject/1889243/,666601人评价,17,9.2,"星际穿越, / Interstellar, / 星际启示录(港)  /  星际效应(台)", 剧情 科幻 冒险,爱是一种力量，让我们超越时空感知它的存在。,2014 
马龙·白兰度 M..., 美国 ,弗朗西斯·福特·科波拉 Francis Ford Coppola,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190556185.jpg,https://movie.douban.com/subject/1291841/,446277人评价,18,9.2,"教父, / The Godfather, / Mario Puzo's The Godfather", 剧情 犯罪,千万不要记恨你的对手，这样会让你失去理智。,1972 
日高法子 Noriko Hidaka / 坂本千夏 Ch..., 日本 ,宫崎骏 Hayao Miyazaki,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,https://movie.douban.com/subject/1291560/,560002人评价,19,9.1,"龙猫, / となりのトトロ, / 邻居托托罗  /  邻家的豆豆龙", 动画 奇幻 冒险,人人心中都有个龙猫，童年就永远不会消失。,1988 
孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ..., 韩国 ,黄东赫 Dong-hyuk Hwang,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,https://movie.douban.com/subject/5912992/,379917人评价,20,9.3,"熔炉, / 도가니, / 无声呐喊(港)  /  漩涡", 剧情,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011 
刘德华 / 梁朝伟 / 黄秋生, 香港 ,刘伟强 / 麦兆辉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg,https://movie.douban.com/subject/1307914/,551681人评价,21,9.1,"无间道, / 無間道, / Infernal Affairs  /  Mou gaan dou", 剧情 犯罪 悬疑,香港电影史上永不过时的杰作。,2002 
威尔·史密斯 Will Smith ..., 美国 ,加布里尔·穆奇诺 Gabriele Muccino,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1312700744.jpg,https://movie.douban.com/subject/1849031/,712859人评价,22,9.0,"当幸福来敲门, / The Pursuit of Happyness, / 寻找快乐的故事(港)  /  追求快乐", 剧情 传记 家庭,平民励志片。 ,2006 
., 法国 ,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,https://movie.douban.com/subject/6786002/,473482人评价,23,9.2,"触不可及, / Intouchables, / 闪亮人生(港)  /  逆转人生(台)", 剧情 喜剧,满满温情的高雅喜剧。,2011 
玛德琳·卡罗尔 Madeline Carroll / 卡..., 美国 ,罗伯·莱纳 Rob Reiner,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg,https://movie.douban.com/subject/3319755/,769147人评价,24,9.0,"怦然心动, / Flipped, / 萌动青春  /  青春萌动", 剧情 喜剧 爱情,真正的幸福是来自内心深处。,2010 
金妮弗·..., 美国 ,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,https://movie.douban.com/subject/25662329/,733685人评价,25,9.2,"疯狂动物城, / Zootopia, / 优兽大都会(港)  /  动物方城市(台)", 喜剧 动画 冒险,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016 
费..., 美国 ,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,https://movie.douban.com/subject/1300267/,337979人评价,26,9.2,"乱世佳人, / Gone with the Wind, / 飘", 剧情 历史 爱情 战争,Tomorrow is another day.,1939 
克里斯蒂安·贝尔 Christ..., 美国 英国 ,克里斯托弗·诺兰 Christopher Nolan,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,https://movie.douban.com/subject/1851857/,442973人评价,27,9.1,"蝙蝠侠：黑暗骑士, / The Dark Knight, / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台)", 剧情 动作 科幻 犯罪 惊悚,无尽的黑暗。,2008 
葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang, 中国大陆 香港 ,张艺谋 Yimou Zhang,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,https://movie.douban.com/subject/1292365/,365977人评价,28,9.1,"活着, / 人生  /  Lifetimes", 剧情 历史 家庭,张艺谋最好的电影。,1994 
安东娜拉·塔莉 Antonel..., 意大利 法国 ,朱塞佩·托纳多雷 Giuseppe Tornatore,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg,https://movie.douban.com/subject/1291828/,370285人评价,29,9.1,"天堂电影院, / Nuovo Cinema Paradiso, / 星光伴我心(港)  /  新天堂乐园(台)", 剧情 爱情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,1988 
苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan..., 美国 台湾 英国 加拿大 ,李安 Ang Lee,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,https://movie.douban.com/subject/1929463/,729328人评价,30,9.0,"少年派的奇幻漂流, / Life of Pi, / 少年Pi的奇幻漂流  /  漂流少年Pi", 剧情 奇幻 冒险,瑰丽壮观、无人能及的冒险之旅。,2012 
亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti..., 美国 ,Sidney Lumet,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,https://movie.douban.com/subject/1293182/,217455人评价,31,9.4,"十二怒汉, / 12 Angry Men, / 12怒汉  /  十二怒汉", 剧情,1957年的理想主义。 ,1957 
姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /..., 中国大陆 ,姜文 Wen Jiang,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg,https://movie.douban.com/subject/1291858/,302614人评价,32,9.2,"鬼子来了, / Devils on the Doorstep", 剧情 历史 战争,对敌人的仁慈，就是对自己残忍。,2000 
维果·莫腾森 Viggo Mortensen / ..., 美国 新西兰 ,彼得·杰克逊 Peter Jackson,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,https://movie.douban.com/subject/1291552/,362294人评价,33,9.1,"指环王3：王者无敌, / The Lord of the Rings: The Return of the King, / 魔戒三部曲：王者再临(台 / 港) ", 剧情 动作 奇幻 冒险,史诗的终章。,2003 
查尔斯·劳顿 Charles Laughton / ..., 美国 ,比利·怀尔德 Billy Wilder,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,https://movie.douban.com/subject/1296141/,148133人评价,34,9.6,"控方证人, / Witness for the Prosecution, / 雄才伟略  /  情妇", 剧情 犯罪 悬疑,比利·怀德满分作品。,1957 
田中真弓 Mayumi Tanaka / 横泽启子 Ke..., 日本 ,宫崎骏 Hayao Miyazaki,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,https://movie.douban.com/subject/1291583/,421658人评价,35,9.0,"天空之城, / 天空の城ラピュタ, / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky", 动画 奇幻 冒险,对天空的追逐，永不停止。 ,1986 
爱德华·诺顿 Edward Norton / 布拉..., 美国 德国 ,大卫·芬奇 David Fincher,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,https://movie.douban.com/subject/1292000/,476960人评价,36,9.0,"搏击俱乐部, / Fight Club, / 搏击会(港)  /  斗阵俱乐部(台)", 剧情 动作 悬疑 惊悚,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,1999 
爱德..., 美国 ,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2364094053.jpg,https://movie.douban.com/subject/2129039/,643635人评价,37,8.9,"飞屋环游记, / Up, / 冲天救兵(港)  /  天外奇迹(台)", 剧情 喜剧 动画 冒险,最后那些最无聊的事情，才是最值得怀念的。 ,2009 
周星驰 Stephen Chow / 吴孟达 Man Tat Ng..., 香港 中国大陆 ,刘镇伟 Jeffrey Lau,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1280323646.jpg,https://movie.douban.com/subject/1299398/,542114人评价,38,8.9,"大话西游之月光宝盒, / 西遊記第壹佰零壹回之月光寶盒, / 西游记101回月光宝盒  /  齐天大圣东游记", 喜剧 爱情 奇幻 冒险,旷古烁今。,1995 
奥黛丽·赫本 Audrey Hepburn / 格..., 美国 ,威廉·惠勒 William Wyler,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,https://movie.douban.com/subject/1293839/,487018人评价,39,9.0,"罗马假日, / Roman Holiday, / 金枝玉叶(港)  /  罗马假期(台)", 喜剧 剧情 爱情,爱情哪怕只有一天。,1953 
阿米尔·汗 Aamir Khan / 法缇玛..., 印度 ,涅提·蒂瓦里 Nitesh Tiwari,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,https://movie.douban.com/subject/26387939/,658017人评价,40,9.1,"摔跤吧！爸爸, / Dangal, / 我和我的冠军女儿(台)  /  打死不离3父女(港)", 剧情 传记 运动 家庭,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,2016 
, 德国 ,弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,https://movie.douban.com/subject/1900841/,288530人评价,41,9.1,"窃听风暴, / Das Leben der Anderen, / 他人的生活  /  别人的生活", 剧情 悬疑,别样人生。,2006 
倍赏千惠子 Chieko Baishô / 木村拓..., 日本 ,宫崎骏 Hayao Miyazaki,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,https://movie.douban.com/subject/1308807/,457931人评价,42,8.9,"哈尔的移动城堡, / ハウルの動く城, / 呼啸山城  /  霍尔的移动城堡", 动画 奇幻 冒险,带着心爱的人在天空飞翔。,2004 
宋康昊 Kang-ho Song / 吴达洙 Dal-su O..., 韩国 ,杨宇硕 Woo-seok Yang,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,https://movie.douban.com/subject/21937445/,286397人评价,43,9.2,"辩护人, / 변호인, / 逆权大状(港)  /  正义辩护人(台)", 剧情,电影的现实意义大过电影本身。,2013 
阿尔·帕西诺 Al Pacino / 克里斯..., 美国 ,马丁·布莱斯 Martin Brest,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p925123037.jpg,https://movie.douban.com/subject/1298624/,413459人评价,44,9.0,"闻香识女人, / Scent of a Woman, / 女人香  /  女人的芳香", 剧情,史上最美的探戈。,1992 
Jason Flemyng / Dexter Fletcher / Nick Moran, 英国 ,Guy Ritchie,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,https://movie.douban.com/subject/1293350/,326712人评价,45,9.1,"两杆大烟枪, / Lock, Stock and Two Smoking Barrels, / 够姜四小强(港)  /  两根枪管(台)", 剧情 喜剧 犯罪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,1998 
杰克·尼科尔森 Jack Nichols..., 美国 ,米洛斯·福尔曼 Miloš Forman,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,https://movie.douban.com/subject/1292224/,331104人评价,46,9.0,"飞越疯人院, / One Flew Over the Cuckoo's Nest, / 飞越杜鹃窝(台)  /  飞越喜鹊巢", 剧情,自由万岁。,1975 
罗宾·威廉姆斯 Robin Williams / 罗伯..., 美国 ,彼得·威尔 Peter Weir,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg,https://movie.douban.com/subject/1291548/,354332人评价,47,9.0,"死亡诗社, / Dead Poets Society, / 暴雨骄阳(港)  /  春风化雨(台)", 剧情,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,1989 
